respid	qn	rating	response
102	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	its better for skin
106	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It'd from well known brand
109	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	My name is a great weekend and I will be
111	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because his such a good product
113	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	niacinamide and rose complex penerated 2X more to repair
115	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Good skin product
116	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Olay is a big brand and I trust this brand. My skin looks very dry and dull so it will definitely makes my skin looks better and give a beautiful rosy glow.
117	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Have sleepless nights. So would like to check it out
122	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Because of rose complex ingredients
123	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because niacinamide helps my skin pampering effects
124	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because this product is very good for my skin
125	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I feel that Im a sort of person who sleeps extremely late and this product is right for my choice and is definitely gonna help me to reduce my dull and tired skin, which very much to my knowledge can be done by okay which is an amazing brand in itself.
128	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	not relevant or unbelievable
129	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Brand value is one of the reason
131	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because it's gives me a glowing skin and repair skin damage so fast.
132	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	If I get results in 24hours, then I will definitely like to use it
134	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I like very much. I feel very happy to buy that product.
135	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is the exact thing which I was searching for since long this instead had is relevant to me I would like to purchase this
136	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Very good for skin
137	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Because I used the product for skin.
138	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	No comments
141	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Since i would like to have a glossy skin
147	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Will keep my skin  twenty four hours healthy
148	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It contains rose complex
150	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repairs tired and dull skin and gives a rosy healthy glow
154	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	as i do not get adequate sleep i tend to get dull & tired look most of the time therefore I think the product is very good for me
155	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am facing this  skin problem. I used to sleep late, I think it cause microdamage to my skin cells. . This product  benefits are impressed me.
156	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I have a dull skin and this seems to be helpful to me.
158	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Great picture of your products
162	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	Seems expensive
166	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It repairs 98% of skin damage and gives healthy , shine to skin
167	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	When the olay is applied to face tha face is glowing.
168	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is a very good products for shinning
169	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I like the product for Tired and dull skin and would like to try it
173	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It looking good and have done in 24 hours with rose Complex
174	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I am used this brand cream and serum .it gives instant glow on my skin. My skin is look like very healthy and shiny whole the time.
180	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Because not only it repairs the skin but makes it to glow and repairs it
182	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	who doesn't like a healthy glow on their face. sometimes i feel my skin looks a bit dull. therefore i will consider this product for that glow.
184	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The product claims to repair the skin and clear the damages happen to skin and gives a healthy skin
185	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I want to buy because it is a good brand
188	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repair tired and dull skin for rosy and healthy glow it has rose complex it re-energized our skin cels
193	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	looks too common place
196	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	It sounds almost unreal to promise the healing of 98%of the damaged skin. Maybe some but not all.
197	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Repair microdamagedull skin Penetrates  Reenergize skin cells Healthy skin
199	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Thehrs, compared to others product seems to repair 98% of damaged cells in 24
202	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It repair our skin and dullness of our skin
205	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Olay is a trusted brand and is reliable international brand
207	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The best of luck to you soon best regards
208	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose
213	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I have a good skin
222	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I would likely to buy the product..because the add is attractive and infomative..so need to try this
225	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	The brand is fab and this looks a great product for my face
227	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	I am not sure the product really works as it claims to.
228	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose complex to penetrates 2x more to repair
275	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	I never heard of this product
286	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is very good product
289	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I'm not interested in this
293	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Everyone wants a healthy skin
299	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Repair skin damage
300	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Good
304	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Creamy moisturizer products
305	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I had the same problem that skin looks tired and dull. So i want to try this.
306	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Its new one so I like to buy
307	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is because i just need to try whether it can repair my skin damage and give a rose glow
313	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Re energies the cells and repair tired and dull skin
314	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I have a dull skin, whenever I apply a product on my skin, it just glows for an hour and after that , it just turns dull, So, I would love to try this product
315	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I think it's a good product
316	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	rose complex healthy glow skin
318	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	According to the situation the product is for me . I want to know whether it works for me or not.
319	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It improves skin and repairs skin damage
320	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Within 24 hours we can reverse the damage
326	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I have damaged skin so I can use this
336	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I love the benefits of the product
338	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I liked this product one of my friends suggested it's very good product.
343	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose complex is an unique combination
346	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Similar products are existing in other brands
353	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It contains niacinamide and rose complex to repair micro damage to the kin cells and re energise skin cells
355	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It's helps to improve our face skin also lookt good
357	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	it makes dull skin to glow and makes skin soft
363	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is trustworthy and effective
365	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	For tired and full skin quite likely to buy
366	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	The price seems to be quite high.
369	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Coz I trust niacinamide
370	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I like this product very much
371	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	I always love rose complex
372	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Na
375	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It has a good and attractive description and it repairs micro damage it says, so i gave a 4
376	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Serum is one of my favorite
380	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	with rose, repairs micro damage, re-energize skin cells
390	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	no comments
391	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Soft skin  Extra brightness
396	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	My skin gets dull always
397	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Effectiveness
417	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rosy sjin
422	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	i like thius ver  i am veru happ to user in am very
429	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Quick repair of skin damage
431	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Seems promising
433	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	because i liked these products very well and I want to buy it
437	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It's very good and fantastic and very interesting
441	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It is branded and trusted product which is easy to apply on skin
442	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose is very esstensial for us
443	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	I think it suits my skin type
444	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	I am not satisfied with the product
446	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	This is 24 hours to give healthy and rosy glow. Repairs 98% ofskin damage.
447	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	One of the best product
449	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	The add Wii be relevant and convinced then by using only we can say deep about this product.
450	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Rose complex makes to tighten my skin and reduce the all open pore
457	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It's a very good and fantastic and very likely
458	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	i dont understand how the serum helps the skin in the pictorial representation of with serum and without serum
460	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose extracts are highly advisable by experts
461	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It's a very good and fantastic and very likely
465	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	It is nice
466	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	I use rosewater as a toner .It forms an important ingredient of my homemade facial mask .
468	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	Because  I might be try this
473	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	2	Because I don't have dull skin at all.
476	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Very likely that use this
481	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Amazin smell
486	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	3	It wasn't that much effective
488	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Worth good
489	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	It looks pretty good in terms of features and effects on the skin. Besides, serums are smooth
490	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	5	Rose extracts are always beneficial
494	C7. [Rose]Olay Luminous Niacinamide + Rose Complex Repairs 98% of skin damage in 24 hours to give you a healthy rosy glow	4	Health skin
